Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
859,Stony Beach,74.83,117.28,3.86,6.56,0.00,0.00,104.12,134.90,41.02,38.77,1.07,1.27,68.99,41.01,4.25,50.5,-105.19,2.7,1.13,3.1,4.37,-13.07,3.23,17.97,7.08,21.62,21.96,0.35,9.53
860,Horse,80.73,152.07,3.40,13.37,0.00,1.75,91.20,167.41,32.58,65.04,1.20,3.83,108.50,40.97,4.09,51.39,-103.56,3.3,0.21,0.5,2.47,-16.57,0.47,15.73,6.82,20.7,20.7,0.72,8.78
861,X5,1.57,4.84,0.00,0.00,0.02,0.00,5.84,8.06,1.34,0.34,0.00,0.00,14.06,0.90,0.57,52.67,-110.08,4.1,0.6,2.1,3.33,-14.13,2.63,16.43,6.12,18.57,20.86,13.63,9.04
862,Island,21.12,21.21,0.81,1.45,0.00,0.00,25.18,31.46,11.84,10.27,0.51,0.40,17.55,11.19,1.64,49.13,-108.23,2,0.84,3.9,4.7,-10.2,4.07,17.17,6.59,21.7,21.7,0.18,8.87
863,Deep,15.86,108.25,1.19,6.16,0.00,1.05,26.55,97.69,15.92,28.28,1.31,2.26,70.11,23.70,4.78,50.43,-103.68,2.2,2.78,2.1,3.7,-14.73,2.23,17.07,7.06,21.85,21.86,1.53,8.88
864,Freefight,0.00,1.80,0.00,0.00,,0.00,0.00,2.49,0.00,0.78,0.00,0.00,1.83,0.57,0.00,51.4,-109.11,15,0.57,3.6,4.6,-11.33,3.8,17.4,6.48,17.58,19.7,40.84,8.33
865,Springwater,4.89,21.79,0.63,0.63,0.00,0.00,9.40,29.70,5.48,4.82,0.00,0.47,36.08,4.21,1.18,52,-108.37,3.1,2.06,1.7,2.93,-15.1,2.23,16.6,6.63,22.3,22.3,6.56,8.62
866,Clair,32.50,91.99,3.77,8.11,0.56,0.77,37.06,78.77,29.72,29.22,3.09,2.21,79.09,35.97,9.26,51.99,-104.06,3,1.21,1.1,2.83,-16.4,1.5,16.43,7.1,22.07,22.07,0.82,9.2
867,Blackstrap,101.78,141.39,12.39,17.96,2.49,2.40,92.29,105.85,65.57,67.13,5.43,3.70,65.89,54.77,8.10,51.78,-106.46,7.9,12.12,2,3.53,-15.03,2.47,17.17,6.78,19.13,19.2,0.43,8.84
868,Waldsea,0.74,1.71,0.00,0.00,0.00,0.00,1.29,2.97,1.48,0.66,0.00,0.00,2.48,1.71,0.47,52.27,-105.19,19.9,5.03,1.3,3.03,-16.3,1.57,16.87,6.88,9.83,20.51,13.48,8.45
871,Shrimp,42.6,52.5,1.6,4.5,0.0,0.0,47.5,60.9,16.0,19.7,0.0,1.0,47.5,17.1,2.5,51.59,-108.45,3,0.45,2.2,3.43,-14.27,2.63,16.97,6.71,22.56,22.6,0.41,9.05
872,Katepwa,121.8,129.2,8.1,14.9,1.6,1.6,69.3,96.9,51.8,56.8,3.5,2.7,68.3,40.6,6.6,50.7,-103.64,22.4,17.01,2.2,3.9,-14.97,2.43,17.43,7.22,15.68,22.55,0.79,8.29
873,Sink,1.6,3.3,0.0,0.3,0.0,0.0,4.0,3.6,1.0,1.4,0.0,0.0,6.1,1.0,0.2,52.44,-109.19,2.8,0.14,1.7,3.13,-14.77,2.17,16.33,6.61,21.1,21.1,2.83,8.66
874,White Heron,90.5,269.3,4.6,5.6,0.0,0.0,99.6,211.5,38.3,24.4,0.7,0.8,63.7,28.3,1.9,51.89,-109.05,0.8,4.86,2,3.33,-14.53,2.37,16.67,6.25,24.25,24.25,1.89,8.94
875,Gouverneur,99.5,120.9,4.7,8.3,0.0,0.8,91.0,111.3,38.7,44.4,2.6,2.4,65.1,43.1,6.7,49.77,-107.64,7.2,1.71,4,4.83,-10.67,4.17,17.8,6.57,19.8,20.7,1.38,8.73
876,Kenosee,31.3,129.1,2.6,9.7,0.7,1.3,37.8,152.8,23.7,42.4,1.9,2.3,120.4,28.9,6.2,49.82,-102.3,7.4,8.31,1.6,3.13,-15,1.9,16.5,5.88,19.14,19.2,1.32,8.79
877,Barber,9.3,27.9,0.7,1.7,0.0,0.0,12.4,25.6,7.2,9.0,0.3,0.7,10.6,8.7,1.3,51.36,-107.67,1.6,9.93,2.8,4.07,-13.9,3.3,17.53,6.93,20.43,20.43,1.26,8.57
878,Humbolt,43.3,153.0,5.3,16.4,1.0,2.1,62.1,154.8,62.2,70.2,6.1,4.0,141.2,79.1,19.5,52.15,-105.12,6.3,4.93,1.3,3.17,-16.33,1.6,16.9,7.23,21.02,21.11,0.84,9.13
879,Porter ,0.6,2.8,0.0,0.1,0.0,0.0,1.1,2.2,1.0,0.6,0.0,0.0,1.3,1.1,0.3,52.19,-106.28,4,2.5,1.9,3.2,-15.17,2.37,17.13,6.62,19.16,19.2,0,8.48
880,Elkwater,252.9,393.3,15.4,20.7,1.8,1.9,182.1,245.8,74.6,91.5,4.8,2.7,120.8,56.5,7.0,49.66,-110.29,7.9,2.19,2.4,3.27,-11,2.03,15.37,6.2,18.74,18.7,0.18,8.65
881,Tramping,0.6,7.3,0.4,0.8,0.0,0.0,2.6,10.6,0.9,0.4,0.0,0.0,14.8,0.0,1.1,52.01,-108.79,3.4,13.29,1.7,3.07,-14.9,2.17,16.53,6.32,23.45,23.8,11.56,9.14
882,Unknown 1,13.0,38.5,0.7,2.1,0.2,0.2,14.2,35.0,7.6,11.0,0.5,0.6,19.3,9.9,1.7,51.55,-104.26,1.8,0.17,1.2,2.83,-15.77,1.47,16.37,7.07,21.66,21.66,1.27,8.73
883,Macklin,38.3,66.0,1.6,5.9,0.2,0.6,50.3,71.3,16.9,28.5,0.8,2.0,44.7,16.7,2.6,52.32,-109.95,2.8,0.77,2,3.33,-14.1,2.5,16.43,6.76,20.54,20.53,0.8,8.38
884,Vincent,0.0,6.2,0.0,0.0,0.0,0.0,12.5,13.2,0.0,0.0,0.0,0.0,11.2,0.0,0.0,50.23,-108.96,0.1,2.42,3.8,4.73,-11,4,17.5,6.45,22,22,49.87,9.42
885,Snakehole,1.3,2.8,0.0,0.0,0.0,0.0,1.6,9.7,1.8,1.5,0.0,0.0,15.7,1.2,0.3,50.51,-108.48,2.4,1.82,3.9,4.83,-11.37,4.1,17.87,6.78,23.46,23.54,50.21,8.96
886,Junction,21.0,23.0,1.0,1.4,0.0,0.0,18.0,20.7,6.8,6.8,0.4,0.2,10.2,6.2,0.8,49.97,-109.52,9,0.9,3.7,4.57,-11.07,3.83,17.27,6.52,19.34,19.93,0.66,8.92
887,Van Scoy,7.1,61.1,1.3,4.7,0.3,0.6,13.1,60.4,21.6,22.1,2.1,1.2,40.8,26.6,7.1,52.07,-107.55,0.9,4.69,1.9,3.27,-15.2,2.53,16.97,6.67,19.5,19.5,6.44,8.82
889,Alioth,53.1,53.1,0.0,0.0,0.0,0.0,45.1,5.6,1.6,0.7,0.3,0.0,26.0,1.3,0.6,52.51,-109.55,0.58,0.14,1.7,3.1,-14.53,2.2,16.2,6.67,21.1,21.1,13.92,10.33
890,Suffern,136.1,140.6,8.1,7.5,0.9,0.6,124.1,119.4,71.1,44.7,4.3,1.6,98.1,52.2,10.0,52.64,-109.9,8,0.29,1.9,3.17,-14.23,2.43,16.27,6.3,19.82,21.6,0.23,8.18
892,Shannon,29.0,97.9,2.2,6.7,0.3,0.8,40.9,102.4,24.1,36.3,2.0,1.8,56.8,27.7,6.3,52.64,-105.43,11.2,2.65,0.9,2.4,-16.4,1.27,16.3,6.21,15.65,20.48,1.67,9.06
893,Kipabiskau,60.9,47.8,3.4,3.6,0.4,0.4,33.9,42.7,20.8,18.9,1.1,1.0,35.8,17.1,3.8,52.57,-104.21,6.8,4.94,0.6,2.33,-17,0.9,16.03,6.41,21.72,22.47,0.52,8.9
894,York,26.1,43.8,1.7,8.4,0.2,0.9,20.8,46.6,8.5,24.9,0.4,1.3,54.0,13.8,1.4,51.16,-102.49,3,3.16,1.3,3.07,-16.23,1.4,16.77,7,22.8,22.86,1.09,8.97
895,Alsask,21.1,143.0,1.4,2.8,0.0,0.0,36.9,79.0,3.2,5.7,0.3,0.8,54.3,3.7,1.5,51.34,-109.88,3.2,2.04,3.2,4.23,-12.37,3.53,17.4,6.57,19.6,19.8,74.84,9.35
896,Lonetree,45.8,83.2,1.9,3.1,0.0,0.0,57.3,86.8,16.5,18.2,0.7,0.6,37.5,16.0,2.2,49.08,-108.26,4,1.37,4.1,4.8,-10.07,4.23,17.37,6.66,20.03,20.03,0.19,9.05
