LakeID,LakeName,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,IR6,IR6.Num,IR6.den,MBT5ME,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
859,Stony Beach,321641.9425,16603.83756,504124.5973,25881.36116,447533.116,0,579853.1751,0,176306.423,279017.1571,166638.679,4610.252882,5479.581516,153477.5205,15033.01038,0.12,326112.61,2696200.65,0.122663841,50.5,-105.19,2.7,1.13,3.1,4.37,-13.07,3.23,17.97,7.08,21.62,21.96,0.35,9.53
860,Horse,226589.9732,9552.423128,426803.8167,37533.2767,255970.218,0,469857.326,4905.368462,91437.98332,292985.3636,182541.0712,3375.134239,10740.89665,114999.7526,11480.70464,0.16,348351.57,2138773.31,0.123885377,51.39,-103.56,3.3,0.21,0.5,2.47,-16.57,0.47,15.73,6.82,20.7,20.7,0.72,8.78
861,X5,5189.697335,0,16009.92997,0,19316.90481,0,26655.55417,0,4431.876765,46476.87404,0,0,0,0,0,0.39,46476.87,118080.84,0,52.67,-110.08,4.1,0.6,2.1,3.33,-14.13,2.63,16.43,6.12,18.57,20.86,13.63,9.04
862,Island,196606.0951,256234.7934,7501.014921,14033.57556,234385.172,0,292865.8935,0,110175.916,95564.97127,163371.6822,4741.625984,3731.842738,104109.6088,14580.10785,0.25,370574.97,1497902.3,0.138260527,49.13,-108.23,2,0.84,3.9,4.7,-10.2,4.07,17.17,6.59,21.7,21.7,0.18,8.87
863,Deep,42429.2942,3150.612916,289548.4924,16409.78124,71028.53631,0,229889.0363,0,42596.8709,187527.0067,75646.69312,3505.737369,6050.453869,63397.39742,12792.71466,0.2,210593.14,1043972.63,0.173942762,50.43,-103.68,2.2,2.78,2.1,3.7,-14.73,2.23,17.07,7.06,21.85,21.86,1.53,8.88
864,Freefight,0,0,5553.863966,0,0,0,5952.357975,0,0,5627.594427,0,0,0,0,0,0.33,5627.59,17133.82,0,51.4,-109.11,15,0.57,3.6,4.6,-11.33,3.8,17.4,6.48,17.58,19.7,40.84,8.33
865,Springwater,12889.74092,0,57448.87521,0,24790.68385,0,78290.51364,0,14449.50545,95110.74515,12706.90056,0,0,11085.86932,3116.666126,0.31,95110.75,309889.5,0.107157248,52,-108.37,3.1,2.06,1.7,2.93,-15.1,2.23,16.6,6.63,22.3,22.3,6.56,8.62
866,Clair,95960.71152,11133.96151,271603.17,109436.2427,0,23882.49775,232582.4778,6680.858036,87765.53247,86289.89112,9136.317369,233530.1282,6524.962895,106208.8869,27347.7902,0.36,470953.58,1308083.43,0.247701205,51.99,-104.06,3,1.21,1.1,2.83,-16.4,1.5,16.43,7.1,22.07,22.07,0.82,9.2
867,Blackstrap,312166.4437,37989.00653,415000.9388,55079.00265,283071.1181,7634.834155,324662.9177,7361.239055,201105.6877,202105.8443,205880.1809,16661.37846,11348.64325,167988.7859,24858.44671,0.14,326831.31,2272914.47,0.163617034,51.78,-106.46,7.9,12.12,2,3.53,-15.03,2.47,17.17,6.78,19.13,19.2,0.43,8.84
868,Waldsea,0,0,5614.234344,0,4249.845308,0,5803.96646,0,4885.540379,8175.039337,0,0,0,5624.502879,0,0.24,8175.04,34353.13,0.344765203,52.27,-105.19,19.9,5.03,1.3,3.03,-16.3,1.57,16.87,6.88,9.83,20.51,13.48,8.45
