Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,Altitude,JanP,FebP,MarP,AprP,MayP,JunP,JulP,AugP,SepP,OctP,NovP,DecP,AnnualP,AutumP,WinterP,SpringP,SummerP,JanT,FebT,MarT,AprT,MayT,JunT,JulT,AugT,SepT,OctT,NovT,DecT,AvT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,OrgCarbon,TOCW,WO,WpH,TDS,Alkalinity,Bicarbonate,Carbonate,Ca,SO4,Na,Mg,K,Cl
859,Stony Beach,12,1,19,1,17,0,22,0,7,10,6,0,0,6,1,50.50,-105.19,2.7,1.13,577,18,14,18,24,47,67,55,40,37,19,15,18,372,71,50,89,162,-15.7,-11.8,-5.8,4.1,11.4,16.3,19.3,18.3,11.8,5.7,-4.4,-11.7,3.1,4.37,-13.07,3.23,17.97,7.08,21.62,21.96,0.35,2.10,0.28,86.64,9.53,0.00,435.94,487.42,43.82,34.89,47.34,46.59,40.91,41.54,22.3
860,Horse,11,0,20,2,12,0,22,0,4,14,9,0,1,5,1,51.39,-103.56,3.3,0.21,669,22,15,25,23,50,71,66,55,47,26,17,20,437,90,57,98,192,-19.7,-15.3,-9.5,1.5,9.4,14.3,17,15.9,10,3.9,-6.5,-14.7,0.5,2.47,-16.57,0.47,15.73,6.82,20.70,20.7,0.72,2.50,0.59,51.63,8.78,0.00,478.05,541.42,41.25,42.84,338.11,27.15,126.4,32.26,7.08
861,X5,4,0,14,0,16,0,23,0,4,39,0,0,0,0,0,52.67,-110.08,4.1,0.60,603,20,14,20,22,38,72,71,57,34,16,15,21,400,65,55,80,200,-17.2,-12.4,-6.8,3.7,11,15.3,17.7,16.3,10.6,4.7,-5.3,-12.8,2.1,3.33,-14.13,2.63,16.43,6.12,18.57,20.86,13.63,0.00,0.39,26.81,9.04,0.00,1897.79,2083.63,447.92,12.04,9318.67,4829.5,1131,275.1,1304.1
862,Island,13,17,1,1,16,0,20,0,7,6,11,0,0,7,1,49.13,-108.23,2,0.84,876,16,13,17,25,49,62,47,33,32,16,12,15,337,60,44,91,142,-12.5,-8.7,-3.3,4.6,10.9,15.3,18.5,17.7,11.6,5.9,-3.4,-9.4,3.9,4.70,-10.20,4.07,17.17,6.59,21.70,21.7,0.18,1.89,0.34,69.67,8.87,0.00,171.7,203.68,5.76,26.52,42.1,3.01,11.46,19.74,3.14
863,Deep,4,0,28,2,7,0,22,0,4,18,7,0,1,6,1,50.43,-103.68,2.2,2.78,617,21,16,19,25,51,74,61,53,47,23,17,20,427,87,57,95,188,-17.4,-13.4,-6.9,3.1,10.5,15.4,18.5,17.3,11.2,5.2,-5.3,-13.4,2.1,3.70,-14.73,2.23,17.07,7.06,21.85,21.86,1.53,3.09,0.22,122.85,8.88,0.00,279.13,321.71,18.6,65.89,1170.11,243.4,250.5,41.27,54.97
864,Freefight,0,0,32,0,0,0,35,0,0,33,0,0,0,0,0,51.40,-109.11,15,0.57,709,20,16,20,25,37,64,48,38,32,15,14,16,345,61,52,82,150,-14.1,-9.9,-4.6,4.6,11.4,15.7,18.7,17.8,11.8,5.8,-3.8,-10,3.6,4.60,-11.33,3.80,17.40,6.48,17.58,19.7,40.84,1.10,0.04,55.48,8.33,0.00,2999.7,3116.86,535.3,86.96,47768.37,9193,7274,1823,4615.29
865,Springwater,4,0,19,0,8,0,25,0,5,31,4,0,0,4,1,52.00,-108.37,3.1,2.06,658,17,12,19,22,38,63,62,46,31,15,15,17,357,61,46,79,171,-17.9,-13.6,-7.4,3.2,10.9,15.2,17.8,16.8,10.6,4.4,-6.2,-13.8,1.7,2.93,-15.10,2.23,16.60,6.63,22.30,22.3,6.56,2.19,0.23,26.56,8.62,0.00,1067.59,1130.45,169.48,32.13,8053.57,0,284.3,177.2,760.11
866,Clair,7,1,21,8,0,2,18,1,7,7,1,18,0,8,2,51.99,-104.06,3,1.21,519,19,15,25,22,48,64,68,51,46,25,18,22,423,89,56,95,183,-18.9,-15,-8.6,2.6,10.5,15.1,17.7,16.5,10.6,4.2,-6.3,-15.3,1.1,2.83,-16.40,1.50,16.43,7.10,22.07,22.07,0.82,0.00,0.28,148.86,9.20,1.12,231.34,263.35,18.64,73.71,470.92,85,96.14,28.26,18.39
867,Blackstrap,14,2,18,2,12,0,14,0,9,9,9,1,0,7,1,51.78,-106.46,7.9,12.12,530,17,14,17,21,39,62,56,39,34,18,14,18,349,66,49,77,157,-17.7,-14,-7.3,3.5,11.2,15.7,18.5,17.3,11.3,5,-5.7,-13.4,2,3.53,-15.03,2.47,17.17,6.78,19.13,19.2,0.43,2.21,0.46,74.26,8.84,0.00,167.17,197.16,6.72,45.36,317.45,66,37.94,8.8,18.22
868,Waldsea,0,0,16,0,12,0,17,0,14,24,0,0,0,16,0,52.27,-105.19,19.9,5.03,531,20,16,20,20,39,66,62,48,40,22,15,20,388,77,56,79,176,-19.1,-15.3,-8.5,2.5,10.7,15.5,18,17.1,10.9,4.6,-6.4,-14.5,1.3,3.03,-16.30,1.57,16.87,6.88,9.83,20.51,13.48,3.28,0.27,50.29,8.45,14.63,369.41,423.69,26.65,169.1,4387.71,1918.8,922.24,122.62,1760.5
